681210"air resistance"

8183000 "gravity"
176890"air resistance"

8183000 "gravity"
533610"air resistance"

8183000 "gravity"
110250"air resistance"

8183000 "gravity"
408040"air resistance"

8183000 "gravity"
59290"air resistance"

8183000 "gravity"
299290"air resistance"

8183000 "gravity"
24010"air resistance"

8183000 "gravity"
210250"air resistance"

8183000 "gravity"
4840"air resistance"

8183000 "gravity"
136890"air resistance"

8183000 "gravity"
-250"air resistance"

8183000 "gravity"
79210"air resistance"

8183000 "gravity"
-10240"air resistance"

8183000 "gravity"
37210"air resistance"

8183000 "gravity"
-37210"air resistance"

8183000 "gravity"
10240"air resistance"

8183000 "gravity"
-77440"air resistance"

8183000 "gravity"
250"air resistance"

8183000 "gravity"
-132250"air resistance"

8183000 "gravity"
-4840"air resistance"

8183000 "gravity"
-201640"air resistance"

8183000 "gravity"
-24010"air resistance"

8183000 "gravity"
-285610"air resistance"

8183000 "gravity"
-57760"air resistance"

8183000 "gravity"
-380250"air resistance"

8183000 "gravity"
-106090"air resistance"

8183000 "gravity"
-488410"air resistance"

8183000 "gravity"
-169000"air resistance"

8183000 "gravity"
-615040"air resistance"

8183000 "gravity"
-246490"air resistance"

8183000 "gravity"
-745290"air resistance"

8183000 "gravity"
-334890"air resistance"

8183000 "gravity"
-876160"air resistance"

8183000 "gravity"
-436810"air resistance"

8183000 "gravity"
-1024000"air resistance"

8183000 "gravity"
-552250"air resistance"

8183000 "gravity"
-1190250"air resistance"

8183000 "gravity"
-676000"air resistance"

8183000 "gravity"
-1354240"air resistance"

8183000 "gravity"
-812250"air resistance"

8183000 "gravity"
1528810"air resistance"

8183000 "gravity"
-967210"air resistance"

8183000 "gravity"
1281640"air resistance"

8183000 "gravity"
-1122250"air resistance"

8183000 "gravity"
1062760"air resistance"

8183000 "gravity"
-1288810"air resistance"

8183000 "gravity"
870250"air resistance"

8183000 "gravity"
1451610"air resistance"

8183000 "gravity"
712890"air resistance"

8183000 "gravity"
1218010"air resistance"

8183000 "gravity"
561690"air resistance"

8183000 "gravity"
1011240"air resistance"

8183000 "gravity"
432640"air resistance"

8183000 "gravity"
835210"air resistance"

